Namespace(corpus='mrda', mode='train', nclass=5, batch_size=4, batch_size_val=2, emb_batch=256, epochs=100, gpu='0,1', lr=0.0001, nlayer=1, chunk_size=350, dropout=0.5, speaker_info='none', topic_info='none', nfinetune=1, seed=0)
Tokenizing train....
Done
Tokenizing val....
Done
Tokenizing test....
Done
Done

Let's use 2 GPUs!
Initializing model....
********************Epoch: 1********************
Batch: 1/60	loss: 1.714	loss_act:1.714
Batch: 4/60	loss: 1.291	loss_act:1.291
Batch: 7/60	loss: 1.125	loss_act:1.125
Batch: 10/60	loss: 1.241	loss_act:1.241
Batch: 13/60	loss: 1.260	loss_act:1.260
Batch: 16/60	loss: 1.224	loss_act:1.224
Batch: 19/60	loss: 1.102	loss_act:1.102
Batch: 22/60	loss: 1.087	loss_act:1.087
Batch: 25/60	loss: 1.037	loss_act:1.037
Batch: 28/60	loss: 0.896	loss_act:0.896
Batch: 31/60	loss: 0.914	loss_act:0.914
Batch: 34/60	loss: 0.889	loss_act:0.889
Batch: 37/60	loss: 0.914	loss_act:0.914
Batch: 40/60	loss: 0.788	loss_act:0.788
Batch: 43/60	loss: 0.794	loss_act:0.794
Batch: 46/60	loss: 0.753	loss_act:0.753
Batch: 49/60	loss: 0.636	loss_act:0.636
Batch: 52/60	loss: 0.536	loss_act:0.536
Batch: 55/60	loss: 0.536	loss_act:0.536
Batch: 58/60	loss: 0.439	loss_act:0.439
Batch: 60/60	loss: 0.413	loss_act:0.413
Epoch 1	Train Loss: 0.951	Val Acc: 0.841	Test Acc: 0.854
Best Epoch: 1	Best Epoch Val Acc: 0.841	Best Epoch Test Acc: 0.854, Best Test Acc: 0.854

********************Epoch: 2********************
Batch: 1/60	loss: 0.454	loss_act:0.454
Batch: 4/60	loss: 0.397	loss_act:0.397
Batch: 7/60	loss: 0.384	loss_act:0.384
Batch: 10/60	loss: 0.396	loss_act:0.396
Batch: 13/60	loss: 0.380	loss_act:0.380
Batch: 16/60	loss: 0.381	loss_act:0.381
Batch: 19/60	loss: 0.324	loss_act:0.324
Batch: 22/60	loss: 0.374	loss_act:0.374
Batch: 25/60	loss: 0.319	loss_act:0.319
Batch: 28/60	loss: 0.357	loss_act:0.357
Batch: 31/60	loss: 0.317	loss_act:0.317
Batch: 34/60	loss: 0.335	loss_act:0.335
Batch: 37/60	loss: 0.288	loss_act:0.288
Batch: 40/60	loss: 0.317	loss_act:0.317
Batch: 43/60	loss: 0.407	loss_act:0.407
Batch: 46/60	loss: 0.281	loss_act:0.281
Batch: 49/60	loss: 0.284	loss_act:0.284
Batch: 52/60	loss: 0.311	loss_act:0.311
Batch: 55/60	loss: 0.300	loss_act:0.300
Batch: 58/60	loss: 0.317	loss_act:0.317
Batch: 60/60	loss: 0.297	loss_act:0.297
Epoch 2	Train Loss: 0.351	Val Acc: 0.873	Test Acc: 0.889
Best Epoch: 2	Best Epoch Val Acc: 0.873	Best Epoch Test Acc: 0.889, Best Test Acc: 0.889

********************Epoch: 3********************
Batch: 1/60	loss: 0.327	loss_act:0.327
Batch: 4/60	loss: 0.296	loss_act:0.296
Batch: 7/60	loss: 0.392	loss_act:0.392
Batch: 10/60	loss: 0.309	loss_act:0.309
Batch: 13/60	loss: 0.313	loss_act:0.313
Batch: 16/60	loss: 0.293	loss_act:0.293
Batch: 19/60	loss: 0.266	loss_act:0.266
Batch: 22/60	loss: 0.278	loss_act:0.278
Batch: 25/60	loss: 0.288	loss_act:0.288
Batch: 28/60	loss: 0.325	loss_act:0.325
Batch: 31/60	loss: 0.268	loss_act:0.268
Batch: 34/60	loss: 0.307	loss_act:0.307
Batch: 37/60	loss: 0.250	loss_act:0.250
Batch: 40/60	loss: 0.341	loss_act:0.341
Batch: 43/60	loss: 0.293	loss_act:0.293
Batch: 46/60	loss: 0.271	loss_act:0.271
Batch: 49/60	loss: 0.304	loss_act:0.304
Batch: 52/60	loss: 0.304	loss_act:0.304
Batch: 55/60	loss: 0.255	loss_act:0.255
Batch: 58/60	loss: 0.314	loss_act:0.314
Batch: 60/60	loss: 0.278	loss_act:0.278
Epoch 3	Train Loss: 0.299	Val Acc: 0.882	Test Acc: 0.898
Best Epoch: 3	Best Epoch Val Acc: 0.882	Best Epoch Test Acc: 0.898, Best Test Acc: 0.898

********************Epoch: 4********************
Batch: 1/60	loss: 0.325	loss_act:0.325
Batch: 4/60	loss: 0.301	loss_act:0.301
Batch: 7/60	loss: 0.248	loss_act:0.248
Batch: 10/60	loss: 0.269	loss_act:0.269
Batch: 13/60	loss: 0.313	loss_act:0.313
Batch: 16/60	loss: 0.329	loss_act:0.329
Batch: 19/60	loss: 0.318	loss_act:0.318
Batch: 22/60	loss: 0.254	loss_act:0.254
Batch: 25/60	loss: 0.350	loss_act:0.350
Batch: 28/60	loss: 0.345	loss_act:0.345
Batch: 31/60	loss: 0.308	loss_act:0.308
Batch: 34/60	loss: 0.267	loss_act:0.267
Batch: 37/60	loss: 0.333	loss_act:0.333
Batch: 40/60	loss: 0.300	loss_act:0.300
Batch: 43/60	loss: 0.253	loss_act:0.253
Batch: 46/60	loss: 0.281	loss_act:0.281
Batch: 49/60	loss: 0.239	loss_act:0.239
Batch: 52/60	loss: 0.292	loss_act:0.292
Batch: 55/60	loss: 0.276	loss_act:0.276
Batch: 58/60	loss: 0.226	loss_act:0.226
Batch: 60/60	loss: 0.281	loss_act:0.281
Epoch 4	Train Loss: 0.284	Val Acc: 0.885	Test Acc: 0.899
Best Epoch: 4	Best Epoch Val Acc: 0.885	Best Epoch Test Acc: 0.899, Best Test Acc: 0.899

********************Epoch: 5********************
Batch: 1/60	loss: 0.276	loss_act:0.276
Batch: 4/60	loss: 0.272	loss_act:0.272
Batch: 7/60	loss: 0.279	loss_act:0.279
Batch: 10/60	loss: 0.272	loss_act:0.272
Batch: 13/60	loss: 0.279	loss_act:0.279
Batch: 16/60	loss: 0.323	loss_act:0.323
Batch: 19/60	loss: 0.269	loss_act:0.269
Batch: 22/60	loss: 0.328	loss_act:0.328
Batch: 25/60	loss: 0.284	loss_act:0.284
Batch: 28/60	loss: 0.296	loss_act:0.296
Batch: 31/60	loss: 0.261	loss_act:0.261
